0458,7003,,,,,,gspca_sn9c2028
041E,405B,,,,,,gspca_vc032x
04C1,009D,,,,,,gspca_vicam
2770,9120,,,,,,gspca_sq905
04CB,0104,,,,,,gspca_finepix
05E1,0893,,,,,,gspca_stk014
0553,0002,,,,,,gspca_cpia1
045E,02AE,,,,,,gspca_kinect
0B89,0007,,,,,,dvb-as102
0CCD,0039,,,,,,pvrusb2
041E,4024,,,,,,zr364xx
05E1,0480,,,,,,au0828
093B,A002,,,,,,go7007-loader
06E1,0709,,,,,,go7007-usb
0572,589E,,,,,,cx231xx
0B48,1006,,,,,,ttusb_dec
3344,1120,,,,,,dvb-usb-lmedm04
0413,6029,,,,,,dvb-usb-af9015
0413,6A05,,,,,,dvb-usb-af9035
0413,6680,,,,,,dvb-usb-rtl28xxu
0CCD,10A3,,,,,,dvb-usb-az6007
2040,B700,,,,,,dvb-usb-mxl111sf
058F,6610,,,,,,dvb-usb-au6610
04B4,861F,,,,,,dvb-usb-anysee
0ACE,13A1,,,,,,zd1301
0572,0320,,,,,,dvb-usb-dvbsky
07CA,A310,,,,,,dvb-usb-ce6230
18B4,1001,,,,,,dvb-usb-ec168
05E3,F170,,,,,,dvb-usb-gl861
1D50,6089,,,,,,hackrf
0B48,1003,,,,,,dvb-ttusb-budget
0553,0100,,,,,,cpia2
06E1,B339,,,,,,tm6000
05E1,0501,,,,,,stkwebcam
0413,6023,,,,,,em28xx
2040,4900,,,,,,hdpvr
1D50,60A1,,,,,,airspy
1B71,3002,,,,,,usbtv
1943,2255,,,,,,s2255drv
187F,0010,,,,,,smsusb
041E,400C,,,,,,pwc
0416,A91A,,,,,,uvcvideo
0AF7,0101,,,,,,b2c2-flexcop-usb
1DF7,2500,,,,,,msi2500
17E9,0,,,,,,udl
1DE1,C102,,,,,,gm12u320
1076,8000,,,,,,gdmulte
1076,8000,,,,,,gdmtty
160A,3184,,,,,,vt6656_stage
0867,9812,,,,,,dt9812
13D8,0001,,,,,,usbdux
13D8,0010,,,,,,usbduxfast
13D8,0020,,,,,,usbduxsigma
10CF,5500,,,,,,vmk80xx
3923,718A,,,,,,ni_usb6501
056E,4008,,,,,,r8188eu
0409,02B6,,,,,,r8712u
03F3,0020,,,,,,prism2_usb
043E,7A01,,,,,,r8192u_usb
8086,0180,,,,,,i2400m-usb
17E9,0,,,,,,udlfb
0424,9D00,,,,,,smscufx
08FD,0002,,,,,,bpa10x
044E,3001,,,,,,btusb
03F0,311D,,,,,,ath3k
057C,2200,,,,,,bfusb
0A5C,2033,,,,,,bcm203x
1286,2046,,,,,,nfcmrvl_usb
04CC,2533,,,,,,pn533_usb
054C,06C1,,,,,,port100
0424,012C,,,,,,vub300
0A12,5D10,,,,,,ushc
050D,0109,,,,,,mct_u232
06CD,0103,,,,,,keyspan_pda
1D50,6062,,,,,,wishbone-serial
06CD,0101,,,,,,keyspan
0586,1000,,,,,,omninet
045B,0053,,,,,,cp210x
050F,0180,,,,,,ir-usb
04B4,5500,,,,,,cypress_m8
0451,3410,,,,,,ti_usb_3410_5052
0BC3,0001,,,,,,ipw
0471,081E,,,,,,spcp8x5
03F0,1B1D,,,,,,sierra
091E,0003,,,,,,garmin_gps
